Idtram,Tramite,cluster,log_tiempo,CONTEO_NETO,N_FORMATOS_FINAL,nivel_cat
7679.0,Transporte Público Masivo de Pasajeros Tuzobús.,0,1.791759469228055,1,0,Nivel 1
1743.0,Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),7,2.3978952727983707,8,2,Nivel 4.1
9229.0,Canje de Placas,6,3.044522437723423,10,3,Sin_nivel
533.0,Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,0,7.273092595999522,2,0,Nivel 1
10885.0,Cambio de Propietario,6,7.273092595999522,7,2,Sin_nivel
983.0,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),6,9.0642735958414,1,2,Sin_nivel
1064.0,Asesoría Jurídica.,0,0.0,0,0,Nivel 1
572.0,Expedición de Constancia de NO Antecedentes Penales,3,4.110873864173311,5,1,Nivel 2
490.0,Radiología e Imagenología del Hospital del Niño DIF Hidalgo,0,7.273092595999522,1,0,Nivel 1
1095.0,Patrocinio Jurídico.,0,7.273092595999522,1,0,Nivel 1
10837.0,Admisión COBAEH,0,2.3978952727983707,3,0,Nivel 1
1269.0,Legalización de Documentos,0,3.044522437723423,0,0,Nivel 1
779.0,Reinscripción COBAEH,0,2.3978952727983707,0,0,Nivel 1
748.0,"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",0,4.795790545596741,4,1,Nivel 1
904.0,Bolsa de Trabajo y Abriendo Espacios,6,7.273092595999522,0,0,Sin_nivel
630.0,Reinscripción UTTT,0,2.772588722239781,2,0,Nivel 1
8300.0,Becas Institucionales UTVM,0,7.273092595999522,0,0,Nivel 1
1268.0,Apostillas,0,3.044522437723423,0,0,Nivel 1
1414.0,Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,0,9.0642735958414,2,0,Nivel 1
828.0,Certificación de Primaria y Secundaria Abierta de Educación para Adultos,0,9.469700127423375,1,0,Nivel 1
