,coef,p_value,ci_2.5,ci_97.5,odds_ratio,significativa_alpha_0.05
Intercept,0.9438271724607855,0.16142333495057637,-0.3772229835533306,2.2648773284749018,2.569797680996931,False
C(TraPersona)[T.Empresarial],-0.10532651524436222,0.8197845971035926,-1.0114556268577592,0.8008025963690348,0.9000306008923362,False
C(TraPersona)[T.Social],-0.011514147087635372,0.9552291680841958,-0.413486950032375,0.39045865585710426,0.9885518870188104,False
log_tiempo,-0.024066650881412088,0.46176322732789055,-0.08816066563032306,0.040027363867498875,0.9762206416232923,False
CONTEO_NETO,0.28313017797070905,6.492670401912267e-06,0.16007811186957246,0.40618224407184567,1.3272779329192919,True
N_FORMATOS_FINAL,-0.12853149600955202,0.22280026733588265,-0.3351706978470095,0.07810770582790541,0.8793858648366377,False
digitalizacion_num,0.2580340576396122,0.005376169848976501,0.07634843370662969,0.43971968157259467,1.2943829014999335,True
Porcentaje_Efectividad,0.0005795081813093312,0.798317595949439,-0.0038655164821416476,0.00502453284476031,1.000579676128616,False
log_visitas_totales,-0.10062384166361873,0.2486367859377131,-0.2715736338441057,0.07032595051686827,0.9042731187907785,False
log_visitas_ruts,-0.027649144792869895,0.6751181559704846,-0.15694268710885864,0.10164439752311885,0.9727295941802928,False
