nivel_cat,n,med_burden,pct_costo
Nivel 1,262,-0.3988604525019854,0.7213740458015268
Sin_nivel,209,-0.1619990080069225,0.6220095693779905
Nivel 2,70,0.1609449427159314,0.5714285714285714
Nivel 3.5,41,0.16531088404806474,0.975609756097561
Nivel 3.7,24,-0.523171837611171,1.0
Nivel 4.1,18,0.460625130819323,0.7222222222222222
Nivel 3.1,14,-0.1645552887797471,0.5714285714285714
Nivel 3.9,10,-0.4898513678065845,1.0
Nivel 4.3,7,-0.6375504527446473,0.8571428571428571
Nivel 4.2,6,-0.9265042283878547,0.5
Nivel 3.2,3,0.40435402768711465,0.3333333333333333
Nivel 3.8,1,-0.6620172519995107,1.0
